Timestamp,CPU_Usage(%),Memory_Usage(%),Disk_Usage(%),Network_IO(MB/s),Error_Logs_Count,Pod_Status,Issue_Label
2024-01-01 00:00:00,39.963209507789,48.023061385002386,66.09988176929792,319.4341396177148,7,Running,1
2024-01-01 00:05:00,86.05714451279329,44.96840721735525,27.91583969190981,230.18693431356238,4,Running,1
2024-01-01 00:10:00,68.5595153449124,33.211543437714504,39.26477860589203,482.2847639071065,0,Running,0
2024-01-01 00:15:00,57.89267873576293,65.5450002576116,61.429644580047274,110.27024704113485,3,Running,0
2024-01-01 00:20:00,22.48149123539492,55.74681203814717,48.746254116713594,294.3403515834714,2,Succeeded,0
2024-01-01 00:25:00,22.479561626896214,84.92757442430027,66.69997270444256,350.4047974801211,6,Pending,1
2024-01-01 00:30:00,14.646688973455957,22.40821853615437,82.28455308560018,412.95668018334544,5,Failed,1
2024-01-01 00:35:00,79.29409166199481,68.29009456663448,23.158268140063825,204.07854418357553,5,Running,0
2024-01-01 00:40:00,58.0892009394567,77.22116588836708,64.66974014786427,343.7740319210833,1,Succeeded,0
2024-01-01 00:45:00,66.64580622368364,76.96149268912302,31.124090894248017,152.29753422075711,5,Running,0
2024-01-01 00:50:00,11.646759543664196,86.45554753216439,44.013370918529844,218.30257008854832,7,Running,1
2024-01-01 00:55:00,87.59278817295954,74.67753071221205,17.300390805659788,447.9179384704962,4,Failed,1
2024-01-01 01:00:00,76.59541126403374,89.58575462357722,24.513516760488926,475.0038970561462,8,Running,1
2024-01-01 01:05:00,26.987128854262092,44.94924498656686,37.384410233422976,359.68985611670513,1,Running,0
2024-01-01 01:10:00,24.54599737656805,57.74070625636573,38.93900637015895,187.80159349731633,6,Running,1
2024-01-01 01:15:00,24.672360788274705,21.0559747462168,77.97096515234671,410.20883719735735,5,Pending,0
2024-01-01 01:20:00,34.33937943676302,20.521819047746842,66.92690364865607,13.907673780984672,5,Succeeded,0
2024-01-01 01:25:00,51.98051453057903,38.009496533863995,83.05280777309288,52.27020935917111,3,Running,0
